Key,Source,Context,Changes,English,Koreana
MasterfarmerT1-10,progression,Attribute,,Tier 1: [9DEF5D]Selection[-] Mushroom,1등급: [9DEF5D]선택[-] 버섯
MasterfarmerT1-11,progression,Attribute,,Tier 1: [9DEF5D]Selection[-] Corn,Tier 1: [9DEF5D]선택[-] 옥수수
MasterfarmerT1-12,progression,Attribute,,Tier 1: [9DEF5D]Selection[-] Potato,Tier 1: [9DEF5D]선택[-] 감자
MasterfarmerT2-1,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Cotton,Tier 2: [FFA927]고급 선택[-] 면
MasterfarmerT2-2,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Goldenrod,Tier 2: [FFA927]고급 선택[-] Goldenrod
MasterfarmerT2-3,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Chrysanthemum,Tier 2: [FFA927]고급 선택[-] 국화
MasterfarmerT2-4,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Coffee,Tier 2: [FFA927]고급 선택[-] 커피
MasterfarmerT2-5,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Yucca,Tier 2: [FFA927]고급 선택[-] Yucca
MasterfarmerT2-6,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Aloe,Tier 2: [FFA927]고급 선택[-]알로에
MasterfarmerT2-7,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Blueberry,Tier 2: [FFA927]고급 선택[-] 블루베리
MasterfarmerT2-8,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Hop,계층 2: [FFA927]고급 선택[-] 홉
MasterfarmerT2-9,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Pumpkin,Tier 2: [FFA927]고급 선택[-] 호박
MasterfarmerT2-10,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Mushroom,Tier 2: [FFA927]고급 선택[-] 버섯
MasterfarmerT2-11,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Corn,Tier 2: [FFA927]고급 선택[-] 옥수수
MasterfarmerT2-12,progression,Attribute,,Tier 2: [FFA927]Advanced selection[-] Potato,Tier 2: [FFA927]고급 선택[-] 감자
seedsT4-1,progression,Attribute,,Tier 4: Farmer Station,Tier 4: 파머 스테이션
seedsT4-2,progression,Attribute,,Tier 5: Hydroponic Station,Tier 5: 수경재배 스테이션
lblCategoryPlants,UI,Tooltip,,Plants,식물
lblCategorySeedling,UI,Tooltip,,Seedling,모
lblCategorySelection,UI,Tooltip,,Selection,선택
lblCategoryAdvSelection,UI,Tooltip,,Advanced Selection,고급 선택
Mushroom_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Mushroom,[DECEA3]수경[-]버섯
Mushroom_BundleDesc,items,Plants,,Mushroom Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배 스테이션에서 버섯 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Yucca_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Yucca,[DECEA3]수경[-]유카
Yucca_BundleDesc,items,Plants,,Yucca Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 유카 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Cotton_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Cotton,[DECEA3]수경재배[-]면
Cotton_BundleDesc,items,Plants,,Cotton Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 목화 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Coffee_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Coffee,[DECEA3]수경[-] 커피
Coffee_BundleDesc,items,Plants,,Coffee Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배 스테이션에서 커피 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Goldenrod_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Goldenrod,[DECEA3]수경법[-] 금색 막대
Goldenrod_BundleDesc,items,Plants,,Goldenrod Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 황금빛 막대 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Aloe_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Aloe,[DECEA3]수경재배[-]알로에
Aloe_BundleDesc,items,Plants,,Aloe Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 알로에 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Blueberry_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Blueberry,[DECEA3]수경[-]블루베리
Blueberry_BundleDesc,items,Plants,,Blueberry Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 블루베리 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Potato_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Potato,[DECEA3]수경재배[-] 감자
Potato_BundleDesc,items,Plants,,Potato Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배 스테이션에서 감자 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Chrysanthemum_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Chrysanthemum,[DECEA3]수경재배[-] 국화
Chrysanthemum_BundleDesc,items,Plants,,Chrysanthemum Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 국화 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Corn_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Corn,[DECEA3]수경재배[-]옥수수
Corn_BundleDesc,items,Plants,,Corn Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 옥수수 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Hop_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Hop,[DECEA3]수경[-]홉
Hop_BundleDesc,items,Plants,,Hop Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경재배 스테이션에서 수확을 하세요.\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
Pumpkin_Bundle,items,Plants,,[DECEA3]Hydroponic[-] Pumpkin,[DECEA3]수경재배[-] 호박
Pumpkin_BundleDesc,items,Plants,,Pumpkin Harvest from Hydroponic Station\n\nUnpack the kit to get [DECEA3]25[-] units of plant,수경 재배장에서 호박 수확\n\n키트 포장을 풀고 [DECEA3]25[-] 단위의 식물을 얻으세요
SeedlingMushroom,blocks,Farming,,Mushroom (Seedling),버섯(모종)
SeedlingYucca,blocks,Farming,,Yucca (Seedling),유카 (모종)
SeedlingCotton,blocks,Farming,,Cotton (Seedling),목화(모종)
SeedlingCoffee,blocks,Farming,,Coffee (Seedling),커피(모종)
SeedlingGoldenrod,blocks,Farming,,Goldenrod (Seedling),금봉(모종)
SeedlingAloe,blocks,Farming,,Aloe (Seedling),알로에(모종)
SeedlingBlueberry,blocks,Farming,,Blueberry (Seedling),블루베리(모종)
SeedlingPotato,blocks,Farming,,Potato (Seedling),감자(모종)
SeedlingChrysanthemum,blocks,Farming,,Chrysanthemum (Seedling),국화(모종)
SeedlingCorn,blocks,Farming,,Corn (Seedling),옥수수(모종)
SeedlingHop,blocks,Farming,,Hop (Seedling),홉(묘목)
SeedlingPumpkin,blocks,Farming,,Pumpkin (Seedling),호박(모종)
resourceFertilizer,items,Resources,,Fertilizer,비료
resourceFertilizerDesc,items,Resources,,A good fertilizer can significantly increase your harvest\n\nUsed in hydroponics and farm station,좋은 비료는 수확량을 크게 늘릴 수 있습니다.\n\n수경재배 및 농장 스테이션에 사용됩니다.
plantedSeedSelectionDesc,blocks,Farming,,"Due to selection, the variety leaves its root system and does not require a new sowing for harvest. Also, the speed of plant maturation has been increased\n\nPlant these seeds in a farm plot to grow a plant and harvest","선택으로 인해 품종은 뿌리 시스템을 떠나 수확을 위해 새로 파종할 필요가 없습니다. 또한, 식물 성숙 속도가 증가했습니다.\n\n이 씨앗을 농장에 심어 식물을 키우고 수확하세요"
plantedSeedAdvSelectionDesc,blocks,Farming,,"Thanks to advanced selection, the variety leaves its root system and does not require a new sowing for harvest. This variety germinates anywhere and does not require a farm plot for planting, the plant can also be grown indoors and its ripening speed is significantly increased",고급 선택 덕분에 품종은 뿌리 시스템을 떠나 수확을 위해 새로 파종할 필요가 없습니다. 이 품종은 어디에서나 발아하며 식재를 위한 농장이 필요하지 않으며 실내에서도 자랄 수 있으며 숙성 속도가 크게 증가합니다.
plantedMushroom1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Mushroom (Seed),[9DEF5D]선택[-] 버섯(씨앗)
plantedMushroom2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Mushroom (Growing),[9DEF5D]선택[-] 버섯(성장)
plantedMushroom3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Mushroom,[9DEF5D]선택[-] 버섯
plantedMushroom1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Mushroom (Seed),[FFA927]고급선택[-]버섯(씨앗)
plantedMushroom2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Mushroom (Growing),[FFA927]고급선택[-]버섯(생육)
plantedMushroom3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Mushroom,[FFA927]고급선택[-]버섯
plantedYucca1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Yucca (Seed),[9DEF5D]선택[-] 유카(씨앗)
plantedYucca2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Yucca (Growing),[9DEF5D]선택[-] 유카(성장)
plantedYucca3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Yucca,[9DEF5D]선택[-] 유카
plantedYucca1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Yucca (Seed),[FFA927]고급선택[-]유카(씨앗)
plantedYucca2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Yucca (Growing),[FFA927]고급선택[-]유카(성장)
plantedYucca3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Yucca,[FFA927]고급선택[-]유카
plantedCotton1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Cotton (Seed),[9DEF5D]선택[-]면(씨앗)
plantedCotton2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Cotton (Growing),[9DEF5D]선택[-]면(재배)
plantedCotton3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Cotton,[9DEF5D]선택[-]면
plantedCotton1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Cotton (Seed),[FFA927]고급선택[-]면(씨앗)
plantedCotton2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Cotton (Growing),[FFA927]고급선택[-]면(성장)
plantedCotton3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Cotton,[FFA927]고급선택[-]코튼
plantedCoffee1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Coffee (Seed),[9DEF5D]선택[-] 커피(씨앗)
plantedCoffee2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Coffee (Growing),[9DEF5D]선택[-] 커피(재배)
plantedCoffee3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Coffee,[9DEF5D]선택[-] 커피
plantedCoffee1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Coffee (Seed),[FFA927]고급선택[-] 커피(씨앗)
plantedCoffee2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Coffee (Growing),[FFA927]고급선택[-] 커피(재배)
plantedCoffee3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Coffee,[FFA927]고급선택[-]커피
plantedGoldenrod1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod (Seed),[9DEF5D]선택[-] 금빛 막대(씨앗)
plantedGoldenrod2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod (Growing),[9DEF5D]선택[-] 금빛 막대(성장)
plantedGoldenrod3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Goldenrod,[9DEF5D]선택[-] 금빛 막대
plantedGoldenrod1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod (Seed),[FFA927]고급선택[-]황금봉(씨앗)
plantedGoldenrod2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod (Growing),[FFA927]고급선택[-]황금봉(성장)
plantedGoldenrod3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Goldenrod,[FFA927]고급선택[-]황금봉
plantedAloe1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Aloe (Seed),[9DEF5D]선택[-] 알로에(씨앗)
plantedAloe2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Aloe (Growing),[9DEF5D]선택[-] 알로에(성장)
plantedAloe3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Aloe,[9DEF5D]선택[-]알로에
plantedAloe1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Aloe (Seed),[FFA927]고급선택[-]알로에(씨앗)
plantedAloe2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Aloe (Growing),[FFA927]고급선택[-]알로에(성장)
plantedAloe3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Aloe,[FFA927]고급선택[-]알로에
plantedBlueberry1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Blueberry (Seed),[9DEF5D]선택[-] 블루베리(씨앗)
plantedBlueberry2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Blueberry (Growing),[9DEF5D]선택[-] 블루베리(성장)
plantedBlueberry3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Blueberry,[9DEF5D]선택[-]블루베리
plantedBlueberry1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry (Seed),[FFA927]고급선택[-]블루베리(씨앗)
plantedBlueberry2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry (Growing),[FFA927]고급선택[-]블루베리(성장)
plantedBlueberry3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Blueberry,[FFA927]고급선택[-]블루베리
plantedPotato1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Potato (Seed),[9DEF5D]선택[-] 감자(씨앗)
plantedPotato2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Potato (Growing),[9DEF5D]선택[-] 감자(성장)
plantedPotato3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Potato,[9DEF5D]선택[-] 감자
plantedPotato1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Potato (Seed),[FFA927]고급선택[-] 감자(씨앗)
plantedPotato2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Potato (Growing),[FFA927]고급선택[-] 감자(성장)
plantedPotato3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Potato,[FFA927]고급선택[-]감자
plantedChrysanthemum1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum (Seed),[9DEF5D]선택[-] 국화(씨앗)
plantedChrysanthemum2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum (Growing),[9DEF5D]선택[-] 국화(성장)
plantedChrysanthemum3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Chrysanthemum,[9DEF5D]선택[-] 국화
plantedChrysanthemum1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum (Seed),[FFA927]고급선택[-] 국화(씨앗)
plantedChrysanthemum2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum (Growing),[FFA927]고급선택[-] 국화(성장)
plantedChrysanthemum3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Chrysanthemum,[FFA927]고급선택[-] 국화
plantedCorn1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Corn (Seed),[9DEF5D]선택[-] 옥수수(종자)
plantedCorn2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Corn (Growing),[9DEF5D]선택[-] 옥수수(성장)
plantedCorn3HarvestSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Corn,[9DEF5D]선택[-] 옥수수
plantedCorn1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Corn (Seed),[FFA927]고급선택[-]옥수수(종자)
plantedCorn2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Corn (Growing),[FFA927]고급선택[-]옥수수(재배)
plantedCorn3HarvestSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Corn,[FFA927]고급선택[-]옥수수
plantedHop1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Hop (Seed),[9DEF5D]선택[-] 홉(시드)
plantedHop2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Hop (Growing),[9DEF5D]선택[-] 홉(성장)
plantedHop3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Hop,[9DEF5D]선택[-] 홉
plantedHop1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Hop (Seed),[FFA927]고급선택[-]홉(시드)
plantedHop2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Hop (Growing),[FFA927]고급선택[-]홉(성장)
plantedHop3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Hop,[FFA927]고급선택[-]홉
plantedPumpkin1Sel1,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin (Seed),[9DEF5D]선택[-] 호박(씨앗)
plantedPumpkin2Sel1,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin (Growing),[9DEF5D]선택[-] 호박(성장)
plantedPumpkin3HarvestPlayerSel1Desc,blocks,Farming,,[9DEF5D]Selection[-] Pumpkin,[9DEF5D]선택[-] 호박
plantedPumpkin1Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin (Seed),[FFA927]고급선택[-] 호박(씨앗)
plantedPumpkin2Sel2,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin (Growing),[FFA927]고급선택[-] 호박(성장)
plantedPumpkin3HarvestPlayerSel2Desc,blocks,Farming,,[FFA927]Advanced selection[-] Pumpkin,[FFA927]고급선택[-] 호박
elevatorDoor_Powered,blocks,Block,,Elevator Door (Powered),엘리베이터 문(전동식)
elevatorDoorDouble_Powered,blocks,Block,,Elevator Door Double (Powered),엘리베이터 도어 더블(전동식)
elevatorDoor_PoweredDesc,blocks,Block,,Connect to a power source to activate this door.\n\nPress & hold [action:local:Activate][action:permanent:Activate] to lock or set a combination. Repair with Forged Steel and a construction tool.,이 문을 활성화하려면 전원에 연결하세요.\n\n[action:local:Activate][action:permanent:Activate]를 길게 눌러 조합을 잠그거나 설정하세요. 단조 강철과 건설 도구로 수리하세요.
buffShockedCritDesc,buffs,Buff,,This is truly a more powerful stun.,이것은 정말로 더 강력한 기절입니다.
buffShockedCritTooltip,buffs,Buff,,This is truly a more powerful stun.,이것은 정말로 더 강력한 기절입니다.
PillCaseStorage,blocks,Container,,[DECEA3]BONUS[-] Medical cabinet,[DECEA3]BONUS[-] 의료 캐비닛
PillCaseStorageDesc,blocks,Container,,This storage is convenient for storing all important medical supplies.\n\n[DECEA3]Significantly increases the recovery effect of a medical bed if it is placed within a 5m radius of this storage.[-],중요한 의료용품을 모두 보관할 수 있는 수납공간입니다.\n\n[DECEA3]이 수납공간 반경 5m 이내에 의료용 침대를 배치하면 회복 효과가 대폭 높아집니다.[-]

===
=== Z_PassiveSkills ===
===


perkSiphoningStrikesRank1LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 4 HP.,처음으로 전투를 맛보면 원동력이 됩니다.\n근접 처치 시 [DECEA3]{cvar(.HealthStealChance:0)}%[-] 확률로 4 HP를 얻습니다.
perkSiphoningStrikesRank2LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 8 HP.,전투의 첫 맛은 당신에게 활력을 불어넣습니다.\n근접 처치는 [DECEA3]{cvar(.HealthStealChance:0)}%[-] 확률로 8 HP를 부여합니다.
perkSiphoningStrikesRank3LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 12 HP.,처음으로 전투를 맛보면 원동력이 됩니다.\n근접 처치 시 [DECEA3]{cvar(.HealthStealChance:0)}%[-] 확률로 12 HP가 부여됩니다.
perkSiphoningStrikesRank4LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 16 HP.,처음으로 전투를 맛보면 원동력이 됩니다.\n근접 처치 시 [DECEA3]{cvar(.HealthStealChance:0)}%[-] 확률로 16 HP를 얻습니다.
perkSiphoningStrikesRank5LongDesc,progression,perk For,,Your first taste of combat fuels you.\nMelee kills have a [DECEA3]{cvar(.HealthStealChance:0)}%[-] chance to grant 20 HP.,전투의 첫 맛은 당신에게 활력을 불어넣습니다.\n근접 처치는 [DECEA3]{cvar(.HealthStealChance:0)}%[-] 확률로 20 HP를 부여합니다.
attpasssiveskills,progression,Attribute,,Passive Skills,패시브 스킬
attpasssiveskillsDesc,progression,Attribute,,No skill points required here. Complete passive skill requirements to level them up,여기에는 스킬 포인트가 필요하지 않습니다. 패시브 스킬 요구 사항을 완료하여 레벨을 올리세요.
0000 ADAPTATION 0000,,,,,
skillAdaptationName,progression,Skills,,Adaptation,적응
perkGameTimerName,progression,perk,,Total time,총 시간
perkGameTimerDesc,progression,perk,,"It's not easy to get used to this heat. But it's only a matter of time.\nThe more time you spend in the desert, the easier it is for you to survive there.\n\n[DECEA3]Now: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]",이 더위에 적응하기가 쉽지 않네요. 하지만 그것은 시간 문제일 뿐입니다.\n사막에서 더 많은 시간을 보낼수록 그곳에서 살아남는 것이 더 쉬워집니다.\n\n[DECEA3]현재: {cvar(TimerGame_HH:0)}h {cvar(TimerGame_MM:0)}m[-]
Game_LevelUP,UI,Tooltip,,Increased passive skill: Total time,패시브 스킬 증가: 총 시간
reqPerkGame01,progression,Attribute,,{cvar(TimerGame_HH:0)} of 2,2의 {cvar(TimerGame_HH:0)}
reqPerkGame02,progression,Attribute,,{cvar(TimerGame_HH:0)} of 4,4개 중 {cvar(TimerGame_HH:0)}
reqPerkGame03,progression,Attribute,,{cvar(TimerGame_HH:0)} of 8,8개 중 {cvar(TimerGame_HH:0)}
reqPerkGame04,progression,Attribute,,{cvar(TimerGame_HH:0)} of 12,12개 중 {cvar(TimerGame_HH:0)}
reqPerkGame05,progression,Attribute,,{cvar(TimerGame_HH:0)} of 18,18개 중 {cvar(TimerGame_HH:0)}
reqPerkGame06,progression,Attribute,,{cvar(TimerGame_HH:0)} of 24,24개 중 {cvar(TimerGame_HH:0)}
reqPerkGame07,progression,Attribute,,{cvar(TimerGame_HH:0)} of 32,32개 중 {cvar(TimerGame_HH:0)}
reqPerkGame08,progression,Attribute,,{cvar(TimerGame_HH:0)} of 40,40개 중 {cvar(TimerGame_HH:0)}
reqPerkGame09,progression,Attribute,,{cvar(TimerGame_HH:0)} of 50,50개 중 {cvar(TimerGame_HH:0)}
reqPerkGame10,progression,Attribute,,{cvar(TimerGame_HH:0)} of 60,60개 중 {cvar(TimerGame_HH:0)}
perkGameTimerRank1Desc,progression,Skills,,Survive in the game for 2 hours,2시간 동안 게임에서 살아남으세요
perkGameTimerRank1LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]1%[-], Loot bonus increased by [DECEA3]1%[-], Mobility increased by [DECEA3]1.5%[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]1%[-] 증가하고, 전리품 보너스는 [DECEA3]1%[-] 증가하고, 이동성은 [DECEA3]1.5%[-] 증가합니다."
perkGameTimerRank2Desc,progression,Skills,,Survive in the game for 4 hours,4시간 동안 게임에서 살아남으세요
perkGameTimerRank2LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]2%[-], Loot bonus increased by [DECEA3]2%[-], Mobility increased by [DECEA3]3%[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]2%[-] 증가하고, 전리품 보너스는 [DECEA3]2%[-] 증가하고, 이동성은 [DECEA3]3%[-] 증가합니다."
perkGameTimerRank3Desc,progression,Skills,,Survive in the game for 8 hours,8시간 동안 게임에서 살아남으세요
perkGameTimerRank3LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]3%[-], Loot bonus increased by [DECEA3]3%[-], Mobility increased by [DECEA3]4.5%[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]3%[-] 증가하고, 전리품 보너스는 [DECEA3]3%[-] 증가하고, 이동성은 [DECEA3]4.5%[-] 증가합니다."
perkGameTimerRank4Desc,progression,Skills,,Survive in the game for 12 hours,12시간 동안 게임에서 살아남으세요
perkGameTimerRank4LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]4%[-], Loot bonus increased by [DECEA3]4%[-], Mobility increased by [DECEA3]6%[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]4%[-] 증가하고, 전리품 보너스는 [DECEA3]4%[-] 증가하고, 이동성은 [DECEA3]6%[-] 증가합니다."
perkGameTimerRank5Desc,progression,Skills,,Survive in the game for 18 hours,18시간 동안 게임에서 살아남으세요
perkGameTimerRank5LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]5%[-], Loot bonus increased by [DECEA3]5%[-], Mobility increased by [DECEA3]7.5%[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]5%[-] 증가하고, 전리품 보너스는 [DECEA3]5%[-] 증가하고, 이동성은 [DECEA3]7.5%[-] 증가합니다."
perkGameTimerRank6Desc,progression,Skills,,Survive in the game for 24 hours,24시간 동안 게임에서 살아남으세요
perkGameTimerRank6LongDesc,progression,Skills,,"[DECEA3]BONUSES WHILE IN-GAME:[-]\nExperience gained in-game increased by [DECEA3]6%[-], Loot bonus increased by [DECEA3]6%[-], Mobility increased by [DECEA3]9%[-], Health and stamina increased by [DECEA3]10[-]","[DECEA3]게임 내 보너스:[-]\n게임 내에서 얻는 경험치는 [DECEA3]6%[-] 증가하고, 전리품 보너스는 [DECEA3]6%[-] 증가하고, 이동성은 [DECEA3]9%[-] 증가하고, 체력과 체력은 [DECEA3]10[-] 증가합니다."
perkGameTimerRank7Desc,progression,Skills,,Survive in the game for 32 hours,32시간 동안 게임에서 살아남으세요
