Key,Source,Context,Changes,English,Russian,Schinese
reqPerkCarrier05,progression,Attribute,,{cvar(CountBossCarrier:0)} of 10,{cvar(CountBossCarrier:0)} из 10,{cvar(CountBossCarrier:0)} 共 10 个
reqPerkCarrier06,progression,Attribute,,{cvar(CountBossCarrier:0)} of 14,{cvar(CountBossCarrier:0)} из 14,{cvar(CountBossCarrier:0)} 共 14 个
reqPerkCarrier07,progression,Attribute,,{cvar(CountBossCarrier:0)} of 18,{cvar(CountBossCarrier:0)} из 18,{cvar(CountBossCarrier:0)} 共 18 个
reqPerkCarrier08,progression,Attribute,,{cvar(CountBossCarrier:0)} of 24,{cvar(CountBossCarrier:0)} из 24,{cvar(CountBossCarrier:0)} 共 24 个
reqPerkCarrier09,progression,Attribute,,{cvar(CountBossCarrier:0)} of 32,{cvar(CountBossCarrier:0)} из 32,{cvar(CountBossCarrier:0)} 共 32 个
reqPerkCarrier10,progression,Attribute,,{cvar(CountBossCarrier:0)} of 40,{cvar(CountBossCarrier:0)} из 40,{cvar(CountBossCarrier:0)} 共 40 个
perkCarrierRank1Desc,progression,Skills,,Kill the Carrier 1 time,Убить Носителя 1 раз,杀死母体 1 次
perkCarrierRank1LongDesc,progression,Skills,,[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]3%[-],[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]3%[-],[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]3%[-]。
perkCarrierRank2Desc,progression,Skills,,Kill the Carrier 2 times,Убить Носителя 2 раза,杀死母体 2 次
perkCarrierRank2LongDesc,progression,Skills,,[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]6%[-],[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]6%[-],[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]6%[-]。
perkCarrierRank3Desc,progression,Skills,,Kill the Carrier 4 times,Убить Носителя 4 раза,杀死母体 4 次
perkCarrierRank3LongDesc,progression,Skills,,[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]9%[-],[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]9%[-],[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]9%[-]。
perkCarrierRank4Desc,progression,Skills,,Kill the Carrier 6 times,Убить Носителя 6 раз,杀死母体 6 次
perkCarrierRank4LongDesc,progression,Skills,,[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]12%[-],[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]12%[-],[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]12%[-]。
perkCarrierRank5Desc,progression,Skills,,Kill the Carrier 10 times,Убить Носителя 10 раз,杀死母体 10 次
perkCarrierRank5LongDesc,progression,Skills,,[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]15%[-],[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]15%[-],[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]15%[-]。
perkCarrierRank6Desc,progression,Skills,,Kill the Carrier 14 times,Убить Носителя 14 раз,杀死母体 14 次
perkCarrierRank6LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]18%[-], Damage taken from Carrier decreased by [DECEA3]5%[-], Amount of «Mutation Samples» obtained increased by [DECEA3]6%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]18%[-], снижение урона от Носителя увеличено на [DECEA3]5%[-], количество добываемых «Образцов мутации» увеличено на [DECEA3]6%[-]",[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]18%[-]，受到母体的伤害降低[DECEA3]5%[-]，获得的“变异样本”数量提高[DECEA3]6%[-]。
perkCarrierRank7Desc,progression,Skills,,Kill the Carrier 18 times,Убить Носителя 18 раз,杀死母体 18 次
perkCarrierRank7LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]21%[-], Damage taken from Carrier decreased by [DECEA3]10%[-], Amount of «Mutation Samples» obtained increased by [DECEA3]12%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]21%[-], снижение урона от Носителя увеличено на [DECEA3]10%[-], количество добываемых «Образцов мутации» увеличено на [DECEA3]12%[-]",[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]21%[-]，受到母体的伤害降低[DECEA3]10%[-]，获得的“变异样本”数量提高[DECEA3]12%[-]。
perkCarrierRank8Desc,progression,Skills,,Kill the Carrier 24 times,Убить Носителя 24 раза,杀死母体 24 次
perkCarrierRank8LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]24%[-], Damage taken from Carrier decreased by [DECEA3]15%[-], Amount of «Mutation Samples» obtained increased by [DECEA3]18%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]24%[-], снижение урона от Носителя увеличено на [DECEA3]15%[-], количество добываемых «Образцов мутации» увеличено на [DECEA3]18%[-]",[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]24%[-]，受到母体的伤害降低[DECEA3]15%[-]，获得的“变异样本”数量提高[DECEA3]18%[-]。
perkCarrierRank9Desc,progression,Skills,,Kill the Carrier 32 times,Убить Носителя 32 раза,击杀母体 32 次
perkCarrierRank9LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]27%[-], Damage taken from Carrier decreased by [DECEA3]20%[-], Amount of «Mutation Samples» obtained increased by [DECEA3]24%[-]","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]27%[-], снижение урона от Носителя увеличено на [DECEA3]20%[-], количество добываемых «Образцов мутации» увеличено на [DECEA3]24%[-]",[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]27%[-]，受到母体的伤害降低[DECEA3]20%[-]，获得的“变异样本”数量提高[DECEA3]24%[-]。
perkCarrierRank10Desc,progression,Skills,,Kill the Carrier 40 times,Убить Носителя 40 раз,杀死母体 40 次
perkCarrierRank10LongDesc,progression,Skills,,"[DECEA3]BONUSES:[-]\nDamage to Carrier increased by [DECEA3]30%[-], Damage taken from Carrier decreased by [DECEA3]25%[-], Amount of «Mutation Samples» obtained increased by [DECEA3]30%[-]\n\n[DECEA3]BONUS ABILITY[-] [FFB800]CARRIER'S FEAR[-]\nYou are not afraid of Carrier. You are not affected by the miniboss's active radiation.","[DECEA3]БОНУСЫ:[-]\nУрон по Носителю увеличен на [DECEA3]30%[-], снижение урона от Носителя увеличено на [DECEA3]25%[-], количество добываемых «Образцов мутации» увеличено на [DECEA3]30%[-]\n\n[DECEA3]БОНУСНАЯ СПОСОБНОСТЬ[-] [FFB800]«СТРАХ НОСИТЕЛЯ»[-]\nВы не боитесь Носителя. На вас не действует активная радиация минибосса.",[DECEA3]加成：[-]\n对母体造成的伤害提高[DECEA3]30%[-]，受到母体的伤害降低[DECEA3]25%[-]，获得的“变异样本”数量提高[DECEA3]30%[-]。\n\n[DECEA3]额外能力[-][FFB800]宿主的恐惧免疫[-]\n你并不害怕承运人。你不会受到小型首领主动辐射的影响。
buffSecondWindBonusReloadName,buffs,buff,,Second Wind (Recovery),Второе Дыхание (Восстановление),第二次风(恢复)
buffSecondWindBonusReloadTooltip,buffs,buff,,Your passive skill Second Wind has been activated,У вас сработал пассивный навык «Второе дыхание»,你的被动技能“重生之风”已激活
buffSecondWindBonusReloadDesc,buffs,Buff,,Your passive skill Second Wind has activated. You restored 500 stamina. The ability is now recharging.,У вас сработал пассивный навык «Второе дыхание». Вы восстановили 500 выносливости. Сейчас способность восстанавливается.,你的被动技能“重生之风”已激活。你恢复了 500 点体力。该能力现在正在充电。
buffIrradiatedBonusReloadName,buffs,buff,,Irradiated (Recovery),Облученный (Восстановление),辐照(恢复)
buffIrradiatedBonusReloadTooltip,buffs,buff,,Your passive skill Irradiated has been activated,У вас сработал пассивный навык «Облученный»,你的被动技能“辐射”已激活
buffIrradiatedBonusReloadDesc,buffs,Buff,,Your passive skill Irradiated has activated. Irradiation has been reduced by [DECEA3]25%[-]. The ability is now recharging.,У вас сработал пассивный навык «Облученный». Облучение снизилось на [DECEA3]25%[-]. Сейчас способность восстанавливается.,你的被动技能“辐射”已激活。辐照度已降低[DECEA3]25%[-]。该能力现在正在充电。
buffPureAdrenalineReloadName,buffs,buff,,Pure Adrenaline (Recovery),Чистый Адреналин (Восстановление),纯肾上腺素(恢复)
buffPureAdrenalineReloadTooltip,buffs,buff,,Your passive skill Pure Adrenaline has been activated,У вас сработал пассивный навык «Чистый адреналин»,你的被动技能“纯粹肾上腺素”已激活
buffPureAdrenalineReloadDesc,buffs,Buff,,Your passive skill Pure Adrenaline has activated. You restored 150 health. The ability is now recharging.,У вас сработал пассивный навык «Чистый Адреналин». Вы восстановили 150 здоровья. Сейчас способность восстанавливается.,你的被动技能“纯粹肾上腺素”已激活。你恢复了 150 点生命值。该能力现在正在充电。
buffMeleeBerserkName,buffs,buff,,Berserk,Берсерк,狂暴
buffMeleeBerserkTooltip,buffs,buff,,Passive skill Berserk is active,Пассивный навык «Берсерк» активен,被动技能狂暴已激活
buffMeleeBerserkDesc,buffs,Buff,,"While this ability is active, each hit you take increases your melee damage by [DECEA3]10%[-], up to a maximum of [DECEA3]50%[-].","Пока на вас действует способность, каждый полученный удар по вам увеличивает ваш урон в ближнем бою на [DECEA3]10%[-]. Максимальный бонус: [DECEA3]50%[-].",当此能力处于活动状态时，你受到的每次攻击都会使你的近战伤害增加[DECEA3]10%[-]，最高可达[DECEA3]50%[-]。
MagazineNotes,items,Resources,,Notes from magazines,Заметки из журналов,杂志笔记
MagazineNotesDesc,items,Resources,,"By collecting enough notes, you can get an additional skill point.","Собрав достаточное количество заметок, вы сможете получить дополнительное очко навыка.",通过收集足够的笔记，你可以获得额外的技能点。
Magazine_AddSkillPoint,items,Books,,Skill Journal,Журнал навыков,技能日记
Magazine_AddSkillPointDesc,items,Books,,"When you read it, you will receive [DECEA3]1[-] skill point.",При прочтении вы получите [DECEA3]1[-] очко навыка.,阅读后，你将获得[DECEA3]1[-]技能点。
SkillPointBundle5,items,Item,,Bundle [DECEA3]5[-] skill points,Набор [DECEA3]5[-] очков навыков,[DECEA3]5[-]技能点礼包
SkillPointBundle5Desc,items,Item,,The bundle contains [DECEA3]5[-] skill journals,Набор содержит [DECEA3]5[-] журналов навыков,该礼包包含[DECEA3]5[-]技能日志
SkillPointBundle25,items,Item,,Bundle [DECEA3]25[-] skill points,Набор [DECEA3]25[-] очков навыков,[DECEA3]25[-]技能点礼包
SkillPointBundle25Desc,items,Item,,The bundle contains [DECEA3]25[-] skill journals,Набор содержит [DECEA3]25[-] журналов навыков,该礼包包含[DECEA3]25[-]技能日志
buffXPBonusName,buffs,buff,,Bonus to experience gained,Бонус к получаемому опыту,获得经验奖励
buffXPBonusTooltip,buffs,buff,,Experience gained is increased by 5%.,Получаемый опыт увеличен на 5%,获得的经验提高5%。
buffXPBonusIncDesc,buffs,Buff,,You have a good teacher next to you.\nAll experience gained is increased by [DECEA3]5%[-].,Рядом с вами хороший учитель.\nВесь получаемый опыт увеличен на [DECEA3]5%[-].,你身边有一位好老师。\n所有获得的经验都会增加[DECEA3]5%[-]。
attperfection,progression,Attribute,,Perfection,Совершенствование,完美
attperfectionName,progression,Attribute,,Attribute: Perfection,Атрибут: Совершенствование,属性：完美
attperfectionDesc,progression,Attribute,,"Advanced character skill development. Traders recognize you, and you receive bonuses to buying and selling prices.","Продвинутое развитие навыков персонажа. Торговцы узнают вас, и вы получаете бонусы к ценам покупки и продажи.",高级角色技能发展。商人认可你，并且你会获得买入和卖出价格的奖金。
attperfectionRank01Desc,progression,Attribute,,Newbie,Новичок,新手
attperfectionRank01LongDesc,progression,Attribute,,"You are still far from perfect, but everything is in your hands. Purchase prices from merchants have been reduced by [DECEA3]0.5%[-], and sale prices have been increased by [DECEA3]2%[-]. Explore the world and become the king of the wasteland.","Вы ещё далеки от совершенства, но всё в ваших руках. Цена покупки у торговцев уменьшена на [DECEA3]0.5%[-], цена продажи увеличена на [DECEA3]2%[-]. Исследуйте мир и станьте королём пустоши.",你还远未达到完美，但一切都在你的手中。商家购买价格降低了[DECEA3]0.5%[-]，销售价格提高了[DECEA3]2%[-]。探索世界，成为废土之王。
attperfectionRank02Desc,progression,Attribute,,Sneaky,Проныра,运动鞋
attperfectionRank02LongDesc,progression,Attribute,,"You are no longer just meat - you are running. Purchase prices from merchants have been reduced by [DECEA3]1%[-], and sale prices have been increased by [DECEA3]4%[-]. Explore the world and become the king of the wasteland.","Вы уже не просто мясо — вы уже бегаете. Цена покупки у торговцев уменьшена на [DECEA3]1%[-], цена продажи увеличена на [DECEA3]4%[-]. Исследуйте мир и станьте королём пустоши.",你不再只是肉——你在奔跑。商家的购买价格降低了[DECEA3]1%[-]，销售价格提高了[DECEA3]4%[-]。探索世界，成为废土之王。
attperfectionRank03Desc,progression,Attribute,,Wanderer,Странник,流浪者
attperfectionRank03LongDesc,progression,Attribute,,"You have seen the world and have some experience in survival. Purchase prices from merchants have been reduced by [DECEA3]1.5%[-], and sale prices have been increased by [DECEA3]6%[-]. Explore the world and become the king of the wasteland.","Вы повидали мир, и у вас уже есть некоторый опыт выживания. Цена покупки у торговцев уменьшена на [DECEA3]1.5%[-], цена продажи увеличена на [DECEA3]6%[-]. Исследуйте мир и станьте королём пустоши.",你见过世面，也有一些生存的经验。商家购买价格降低了[DECEA3]1.5%[-]，销售价格提高了[DECEA3]6%[-]。探索世界，成为废土之王。
attperfectionRank04Desc,progression,Attribute,,Researcher,Исследователь,研究员
attperfectionRank04LongDesc,progression,Attribute,,"You've mastered the basics perfectly; now it's time to delve into the details. Purchase prices from merchants have been reduced by [DECEA3]2%[-], and sale prices have been increased by [DECEA3]8%[-]. Explore the world and become the king of the wasteland.","Азы вы освоили на отлично, теперь пора углубиться в детали. Цена покупки у торговцев уменьшена на [DECEA3]2%[-], цена продажи увеличена на [DECEA3]8%[-]. Исследуйте мир и станьте королём пустоши.",你已经完美掌握了基础知识；现在是时候深入研究细节了。商家的进货价格降低了[DECEA3]2%[-]，销售价格提高了[DECEA3]8%[-]。探索世界，成为废土之王。
attperfectionRank05Desc,progression,Attribute,,Recognizable,Узнаваемый,可识别
attperfectionRank05LongDesc,progression,Attribute,,"Other survivors have heard about you, and not necessarily only good things. Purchase prices from merchants have been reduced by [DECEA3]2.5%[-], and sale prices have been increased by [DECEA3]10%[-]. Explore the world and become the king of the wasteland.","О вас слышали другие выжившие, и не факт, что только хорошее. Цена покупки у торговцев уменьшена на [DECEA3]2.5%[-], цена продажи увеличена на [DECEA3]10%[-]. Исследуйте мир и станьте королём пустоши.",其他幸存者都听说过你，而且不一定只是好事。商家购买价格降低了[DECEA3]2.5%[-]，销售价格提高了[DECEA3]10%[-]。探索世界，成为废土之王。
attperfectionRank06Desc,progression,Attribute,,Mercenary,Наемник,雇佣兵
attperfectionRank06LongDesc,progression,Attribute,,"You have excellent fighting skills - all that remains is to put them into practice. Purchase prices from merchants have been reduced by [DECEA3]3%[-], and sale prices have been increased by [DECEA3]12%[-]. Explore the world and become the king of the wasteland.","У вас отличные навыки боя — осталось применить их на деле. Цена покупки у торговцев уменьшена на [DECEA3]3%[-], цена продажи увеличена на [DECEA3]12%[-]. Исследуйте мир и станьте королём пустоши.",你拥有出色的战斗技巧 - 剩下的就是将它们付诸实践。商家的进货价格降低了[DECEA3]3%[-]，销售价格提高了[DECEA3]12%[-]。探索世界，成为废土之王。
attperfectionRank07Desc,progression,Attribute,,Veteran,Ветеран,老将
attperfectionRank07LongDesc,progression,Attribute,,"You've seen a lot. But don't stop there. Purchase prices from merchants have been reduced by [DECEA3]3.5%[-], and sale prices have been increased by [DECEA3]14%[-]. Explore the world and become the king of the wasteland.","Вы повидали многое. Но не стоит останавливаться на достигнутом. Цена покупки у торговцев уменьшена на [DECEA3]3.5%[-], цена продажи увеличена на [DECEA3]14%[-]. Исследуйте мир и станьте королём пустоши.",你已经看过很多了。但不要就此止步。商家的进货价格降低了[DECEA3]3.5%[-]，销售价格提高了[DECEA3]14%[-]。探索世界，成为废土之王。
attperfectionRank08Desc,progression,Attribute,,Authority,Авторитет,权威
attperfectionRank08LongDesc,progression,Attribute,,"You can't be ignored. You're right there in every mess. Purchase prices from merchants have been reduced by [DECEA3]4%[-], and sale prices have been increased by [DECEA3]16%[-]. Explore the world and become the king of the wasteland.","С вами нельзя не считаться. В каждой заварушке вы тут как тут. Цена покупки у торговцев уменьшена на [DECEA3]4%[-], цена продажи увеличена на [DECEA3]16%[-]. Исследуйте мир и станьте королём пустоши.",你不能被忽视。在每一个混乱中你都在那里。商家购买价格降低了[DECEA3]4%[-]，销售价格提高了[DECEA3]16%[-]。探索世界，成为废土之王。
attperfectionRank09Desc,progression,Attribute,,Legend,Легенда,传奇
attperfectionRank09LongDesc,progression,Attribute,,"People talk about you with admiration. You are perfect in almost everything. In almost everything. Purchase prices from merchants have been reduced by [DECEA3]4.5%[-], and sale prices have been increased by [DECEA3]18%[-]. Explore the world and become the king of the wasteland.","О вас говорят с восхищением. Вы совершенны почти во всем. Почти во всем. Цена покупки у торговцев уменьшена на [DECEA3]4.5%[-], цена продажи увеличена на [DECEA3]18%[-]. Исследуйте мир и станьте королём пустоши.",人们谈论你时都充满钦佩。你几乎在所有事情上都是完美的。几乎在所有事情上。商家购买价格降低了[DECEA3]4.5%[-]，销售价格提高了[DECEA3]18%[-]。探索世界，成为废土之王。
attperfectionRank10Desc,progression,Attribute,,Wasteland king,Король пустоши,废土王
attperfectionRank10LongDesc,progression,Attribute,,"You are the king of the entire wasteland. There is nothing that will surprise or frighten you. Purchase prices from merchants have been reduced by [DECEA3]5%[-], and sale prices have been increased by [DECEA3]20%[-]. You are perfect!","Вы король всей пустоши. Нет ничего, что вас удивит или испугает. Цена покупки у торговцев уменьшена на [DECEA3]5%[-], цена продажи увеличена на [DECEA3]20%[-]. Вы совершенны!",你是整个废土的王。没有什么会让你感到惊讶或害怕。商家的进货价格降低了[DECEA3]5%[-]，销售价格提高了[DECEA3]20%[-]。你很完美！
reqPerfectPoints01,progression,Attribute,,1 lvl,1 ур,1 级
reqPerfectPoints02,progression,Attribute,,50 lvl,50 ур,50级
reqPerfectPoints03,progression,Attribute,,100 lvl,100 ур,100级
reqPerfectPoints04,progression,Attribute,,150 lvl,150 ур,150级
reqPerfectPoints05,progression,Attribute,,200 lvl,200 ур,200级
reqPerfectPoints06,progression,Attribute,,250 lvl,250 ур,250级
reqPerfectPoints07,progression,Attribute,,300 lvl,300 ур,300级
reqPerfectPoints08,progression,Attribute,,350 lvl,350 ур,350级
reqPerfectPoints09,progression,Attribute,,400 lvl,400 ур,400级
reqPerfectPoints10,progression,Attribute,,450 lvl,450 ур,450级
reqPerfectLevel01,progression,Attribute,,Perfection Level 1,Уровень совершенства 1,完美等级 1
reqPerfectLevel02,progression,Attribute,,Perfection Level 2,Уровень совершенства 2,完美等级 2
reqPerfectLevel03,progression,Attribute,,Perfection Level 3,Уровень совершенства 3,完美等级 3
reqPerfectLevel04,progression,Attribute,,Perfection Level 4,Уровень совершенства 4,完美等级 4
reqPerfectLevel05,progression,Attribute,,Perfection Level 5,Уровень совершенства 5,完美等级 5
reqPerfectLevel06,progression,Attribute,,Perfection Level 6,Уровень совершенства 6,完美等级 6
reqPerfectLevel07,progression,Attribute,,Perfection Level 7,Уровень совершенства 7,完美等级 7
reqPerfectLevel08,progression,Attribute,,Perfection Level 8,Уровень совершенства 8,完美等级 8
reqPerfectLevel09,progression,Attribute,,Perfection Level 9,Уровень совершенства 9,完美等级 9
reqPerfectLevel10,progression,Attribute,,Perfection Level 10,Уровень совершенства 10,完美等级 10
reqPlayerLevel100,progression,Attribute,,Character Level 100,Уровень персонажа 100,角色等级100
reqPlayerLevel200,progression,Attribute,,Character Level 200,Уровень персонажа 200,角色等级200
reqPlayerLevel300,progression,Attribute,,Character Level 300,Уровень персонажа 300,角色等级300
reqPlayerLevel400,progression,Attribute,,Character Level 400,Уровень персонажа 400,角色等级 400
reqPlayerLevel500,progression,Attribute,,Character Level 500,Уровень персонажа 500,角色等级500
reqPlayerLevel600,progression,Attribute,,Character Level 600,Уровень персонажа 600,角色等级 600
reqPlayerLevel700,progression,Attribute,,Character Level 700,Уровень персонажа 700,角色等级700
reqPlayerLevel800,progression,Attribute,,Character Level 800,Уровень персонажа 800,角色等级800
reqPlayerLevel900,progression,Attribute,,Character Level 900,Уровень персонажа 900,角色等级900
reqPlayerLevel1000,progression,Attribute,,Character Level 1000,Уровень персонажа 1000,角色等级1000
skillSelfDevelopName,progression,Skills,,Skills Self Development,Навыки саморазвития,技能自我发展
perkLearningAbilityName,progression,perk,,Learning ability,Обучаемость,学习能力
perkLearningAbilityDesc,progression,perk,,"You also need to be able to learn. Developing the skill of learning will allow you to learn faster, and when you master the skills, you will be able to teach others.","Обучаться тоже надо уметь. Развитие навыка обучаемости позволит вам обучаться быстрее, и когда вы овладеете навыком, вы сможете обучать других.",你还需要能够学习。培养学习技能可以让你学得更快，当你掌握了这些技能后，你就可以教别人了。
perkLearningAbilityRank1LongDesc,progression,Skills,,Everything is like in school. Only zombies interfere with homework. Your experience gain is increased by [DECEA3]2.5%[-],Всё как в школе. Только зомби мешают делать уроки. Получаемый вами опыт увеличен на [DECEA3]2.5%[-],一切都像在学校一样。只有僵尸会干扰家庭作业。你的经验获得量增加[DECEA3]2.5%[-]
perkLearningAbilityRank2LongDesc,progression,Skills,,"Ah, student life. Classes, library, parties, girls... and zombies. Your experience gain is increased by [DECEA3]5%[-]","Эх, студенческая жизнь. Занятия, библиотека, вечеринки, девочки... и зомби. Получаемый вами опыт увеличен на [DECEA3]5%[-]",啊，学生生活。班级、图书馆、派对、女孩……还有僵尸。你的经验获得量增加[DECEA3]5%[-]
perkLearningAbilityRank3LongDesc,progression,Skills,,"If it weren't for the apocalypse, you would have become a good engineer. Your experience gain is increased by [DECEA3]7.5%[-]","Если бы не апокалипсис, вы бы стали хорошим инженером. Получаемый вами опыт увеличен на [DECEA3]7.5%[-]",如果没有世界末日，你会成为一名优秀的工程师。你的经验获得量增加[DECEA3]7.5%[-]
perkLearningAbilityRank4LongDesc,progression,Skills,,"You don't have to read a lot to survive the apocalypse. You can, for example, shoot a lot. Your experience gain is increased by [DECEA3]10%[-]","Не обязательно много читать, чтобы выжить в апокалипсисе. Можно, например, много стрелять. Получаемый вами опыт увеличен на [DECEA3]10%[-]",你不必读太多书就能在末世中生存。例如，你可以多开几枪。你的经验获得量增加[DECEA3]10%[-]
perkLearningAbilityRank5LongDesc,progression,Skills,,"Not everyone likes smart guys, but you don't care. Your experience gain is increased by [DECEA3]12.5%[-]","Немногие любят умников, но вам всё равно. Получаемый вами опыт увеличен на [DECEA3]12.5%[-]",不是每个人都喜欢聪明人，但你不在乎。你的经验获得量增加[DECEA3]12.5%[-]
perkLearningAbilityRank6LongDesc,progression,Skills,,Learned it yourself - teach others. Your experience gain is increased by [DECEA3]15%[-],Научился сам - научи других. Получаемый вами опыт увеличен на [DECEA3]15%[-],自己学会了-教别人。你的经验获得量增加[DECEA3]15%[-]
perkLearningAbilityRank7LongDesc,progression,Skills,,"In laboratories, knowledge is obtained faster. Your experience gain is increased by [DECEA3]17.5%[-]",В лабораториях знания получаются быстрее. Получаемый вами опыт увеличен на [DECEA3]17.5%[-],在实验室中，知识的获取速度更快。你的经验增益增加[DECEA3]17.5%[-]
perkLearningAbilityRank8LongDesc,progression,Skills,,Lover of studying everything thoroughly. Your experience gain is increased by [DECEA3]20%[-],Любитель всё досконально изучить. Получаемый вами опыт увеличен на [DECEA3]20%[-],热爱研究一切事物。你的经验获得量增加[DECEA3]20%[-]
perkLearningAbilityRank9LongDesc,progression,Skills,,Smarter than [DECEA3]99%[-]... Your experience gain is increased by [DECEA3]22.5%[-],Поумнее [DECEA3]99%[-]... Получаемый вами опыт увеличен на [DECEA3]22.5%[-],比[DECEA3]99%[-]更聪明...你的经验增益增加[DECEA3]22.5%[-]
perkLearningAbilityRank10LongDesc,progression,Skills,,Learned it yourself - teach others. Allies and party members receive [DECEA3]5%[-] more experience. Your experience gain is increased by [DECEA3]25%[-],Научился сам - научи других. Союзники и участники группы получают на [DECEA3]5%[-] больше опыта. Получаемый вами опыт увеличен на [DECEA3]25%[-],自己学会了-教别人。盟友和队伍成员获得[DECEA3]5%[-]更多经验。你的经验获得量增加[DECEA3]25%[-]
perkLearningAbilityRank1Desc,progression,Skills,,Schoolboy,Школьник,男生
perkLearningAbilityRank2Desc,progression,Skills,,Student,Студент,学生
perkLearningAbilityRank3Desc,progression,Skills,,Excellent student,Отличник,优秀学生
perkLearningAbilityRank4Desc,progression,Skills,,Graduate student,Аспирант,研究生
perkLearningAbilityRank5Desc,progression,Skills,,Wise guy,Ботаник,聪明人
perkLearningAbilityRank6Desc,progression,Skills,,Teacher,Учитель,老师
perkLearningAbilityRank7Desc,progression,Skills,,Lab assistant,Лаборант,实验室助理
perkLearningAbilityRank8Desc,progression,Skills,,Scientist,Ученый,科学家
perkLearningAbilityRank9Desc,progression,Skills,,Doctor of Science,Доктор наук,科学博士
perkLearningAbilityRank10Desc,progression,Skills,,Professor,Профессор,教授
perkLooteringName,progression,perk,,Looting,Мародерство,抢劫
perkLooteringDesc,progression,perk,,"To find good loot, you need to understand where and why it was hidden. Master the skill of finding rare loot and you will always have something to offer for sale.","Чтобы найти хорошую добычу, нужно понимать, где и зачем её прятали. Овладейте навыком поиска редкой добычи, и у вас всегда будет что предложить на продажу.",要找到好的战利品，你需要了解它被隐藏的地点和原因。掌握寻找稀有战利品的技能，你将永远有东西可以出售。
perkLooteringRank1LongDesc,progression,Skills,,Look more carefully. Loot search bonus is increased by [DECEA3]1.5%[-],Ищите внимательнее. Бонус поиска добычи увеличен на [DECEA3]1.5%[-],仔细看看。战利品搜索奖励增加[DECEA3]1.5%[-]
perkLooteringRank2LongDesc,progression,Skills,,Collect only the most important. Loot search bonus is increased by [DECEA3]3%[-],Собирайте только самое важное. Бонус поиска добычи увеличен на [DECEA3]3%[-],只收集最重要的。战利品搜索奖励增加[DECEA3]3%[-]
perkLooteringRank3LongDesc,progression,Skills,,Your trained eye won't miss anything. Loot search bonus is increased by [DECEA3]4.5%[-],Ваш наметанный глаз вас не подводит. Бонус поиска добычи увеличен на [DECEA3]4.5%[-],你训练有素的眼睛不会错过任何东西。战利品搜索奖励增加[DECEA3]4.5%[-]
perkLooteringRank4LongDesc,progression,Skills,,A good thief always knows where to look... Loot search bonus is increased by [DECEA3]6%[-],"Хороший вор всегда знает, где искать... Бонус поиска добычи увеличен на [DECEA3]6%[-]",一个好的小偷总是知道去哪里寻找...战利品搜索奖励增加[DECEA3]6%[-]
perkLooteringRank5LongDesc,progression,Skills,,"If you can't find anything, you can just take it away. Loot search bonus is increased by [DECEA3]7.5%[-]","Если не удаётся найти, можно просто отобрать. Бонус поиска добычи увеличен на [DECEA3]7.5%[-]",如果你找不到任何东西，你可以把它拿走。战利品搜索奖励增加[DECEA3]7.5%[-]
perkLooteringRank6LongDesc,progression,Skills,,Without good loot you won't rest. Loot search bonus is increased by [DECEA3]9%[-],Без хорошей добычи вы не успокоитесь. Бонус поиска добычи увеличен на [DECEA3]9%[-],没有好的战利品你就不会休息。战利品搜索奖励增加[DECEA3]9%[-]
